City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
597,Ewa Beach,US,85.95,scattered clouds,21.3156,-158.0072,Base Lodging
602,Libreville,GA,75.13,broken clouds,0.3925,9.4537,Le Méridien Re-Ndama
604,Encrucijada,CU,84.76,broken clouds,22.6169,-79.8711,Hostal La Terraza
605,Kanniyakumari,IN,78.12,light rain,8.0833,77.5667,Sparsa Kanyakumari
613,Pula,HR,77.58,clear sky,44.8683,13.8481,Park Plaza Histria Pula
632,Bayji,IQ,89.04,clear sky,34.9311,43.487,دار الضيافة
634,Ponta Delgada,PT,75.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
636,Biak,ID,75.11,broken clouds,-0.9131,122.8766,Penginapan Kim
641,Hoi An,VN,76.96,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
642,Olopa,GT,76.48,overcast clouds,14.6833,-89.35,Eco Muro
646,Ciales,PR,84.47,broken clouds,18.3361,-66.4688,Casona Bella Vista
650,Tezu,IN,75.96,overcast clouds,27.9167,96.1667,Circuit House
654,Bandarbeyla,SO,77.11,scattered clouds,9.4942,50.8122,JABIR HOTEL
656,Gewane,ET,85.96,broken clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
662,Puerto Ayacucho,VE,80.24,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
664,Suzhou,CN,82.09,overcast clouds,31.3114,120.6181,Holiday Inn Jasmine Suzhou
671,Dicabisagan,PH,79.18,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
674,Escanaba,US,87.94,clear sky,45.7453,-87.0646,Sunset Lodge
677,Huangmei,CN,81.81,broken clouds,30.1924,116.025,Tianxiachan Hotel
680,Adeje,ES,80.22,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
