City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Boyolangu,ID,2022-07-16 23:27:45,-8.1181,111.8935,74.21,94,85,7.25
277,Launceston,AU,2022-07-16 23:27:46,-41.45,147.1667,53.24,90,100,19.57
278,Arroyo,ES,2022-07-16 23:27:46,41.6096,-4.7969,84.6,32,0,10.36
279,Namatanai,PG,2022-07-16 23:27:46,-3.6667,152.4333,82.69,72,35,8.05
280,Chihuahua,MX,2022-07-16 23:27:47,28.5,-106.0,90.43,30,86,2.77
281,Kulhudhuffushi,MV,2022-07-16 23:27:47,6.6221,73.07,81.27,80,77,10.98
282,Longyearbyen,SJ,2022-07-16 23:28:27,78.2186,15.6401,53.44,66,0,10.36
283,Swan Hill,AU,2022-07-16 23:28:48,-35.3378,143.5544,52.72,76,84,12.97
284,Port Macquarie,AU,2022-07-16 23:28:48,-31.4333,152.9167,58.89,59,74,8.75
285,Pirgos,GR,2022-07-16 23:28:48,35.1167,25.7178,81.63,37,0,11.43
286,Alice Springs,AU,2022-07-16 23:28:49,-23.7,133.8833,44.15,31,4,0.0
287,Atambua,ID,2022-07-16 23:28:49,-9.1061,124.8925,68.9,85,47,5.21
288,Maceio,BR,2022-07-16 23:28:50,-9.6658,-35.7353,74.64,88,100,8.05
289,Matiri,TZ,2022-07-16 23:28:50,-10.75,34.9,53.02,72,64,2.91
290,Kupang,ID,2022-07-16 23:28:51,-10.1667,123.5833,73.33,82,21,10.2
291,Mul,IN,2022-07-16 23:28:51,20.0667,79.6667,77.36,92,96,4.41
292,Gardez,AF,2022-07-16 23:28:51,33.5974,69.2259,65.35,72,0,4.43
293,Guanica,PR,2022-07-16 23:28:26,17.9716,-66.908,86.13,83,13,14.94
294,Barahona,DO,2022-07-16 23:28:52,18.2085,-71.1008,87.62,70,20,13.8
